Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
MRPL,2024-01-23,170.89999389648438,2024-02-12,184.9499969482422,Win,8.22,0.6070263066560454,0.37545266717492454,1.096235270132111
EIHOTEL,2024-01-24,308.70001220703125,2024-02-13,388.2999877929688,Win,25.79,0.7020226359985396,0.29951592608387023,1.0917295756779886
MRPL,2024-01-24,171.75,2024-02-13,182.6999969482422,Win,6.38,0.5805552288340068,0.32166220879871465,1.0858828457819518
EIHOTEL,2024-01-25,310.45001220703125,2024-02-14,391.8999938964844,Win,26.24,0.6958710308331975,0.2863062123722445,1.0849927398223116
MRPL,2024-01-25,174.39999389648438,2024-02-14,203.9499969482422,Win,16.94,0.6008060902224645,0.34464146491907843,1.0866365667243774
HEMIPROP,2024-01-29,180.0500030517578,2024-02-15,223.0500030517578,Win,23.88,0.5176467737114637,0.17181913572388036,1.0365947659328139
EIHOTEL,2024-01-30,319.3500061035156,2024-02-16,394.7000122070313,Win,23.59,0.665356148412226,0.3131168178899265,1.0865804767666163
MRPL,2024-01-30,179.3000030517578,2024-02-16,241.0500030517578,Win,34.44,0.6034027874032796,0.34609614984772713,1.0835509231142826
MRPL,2024-01-31,177.0500030517578,2024-02-19,286.1000061035156,Win,61.59,0.558523920853917,0.3297034259678817,1.057385232712852
EIHOTEL,2024-02-01,327.29998779296875,2024-02-20,398.2999877929688,Win,21.69,0.659904856812374,0.30476372266024726,1.0857427870266523
MRPL,2024-02-01,178.64999389648438,2024-02-20,273.20001220703125,Win,52.92,0.575187541493173,0.3457626658868879,1.0548308814250555
MRPL,2024-02-06,194.1000061035156,2024-02-23,245.8500061035156,Win,26.66,0.6425117639215273,0.4458101013297251,1.0906391164460045
MRPL,2024-02-08,200.8500061035156,2024-02-27,235.6000061035156,Win,17.3,0.6496844297346789,0.5000001139566074,1.0933368572510458
EIHOTEL,2024-02-13,388.2999877929688,2024-03-01,406.1000061035156,Win,4.58,0.5382733246380511,0.39550759314633893,1.0901317833745792
EIHOTEL,2024-02-14,391.8999938964844,2024-03-04,413.6499938964844,Win,5.55,0.5430783077191009,0.401143999973814,1.083939568182672
