condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
volume_to_volume_ema_21_daily_difference_pct >= -1.4437638630511718,volume_to_volume_ema_21_daily_difference_pct,>=,-1.4437638630511718,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
volume_to_volume_ema_55_daily_difference_pct >= 9.41977450300579,volume_to_volume_ema_55_daily_difference_pct,>=,9.41977450300579,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
high_low_ratio_daily >= 1.060869520989017,high_low_ratio_daily,>=,1.060869520989017,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
close_ema_8_daily_slope_pct >= 0.024070173818978753,close_ema_8_daily_slope_pct,>=,0.024070173818978753,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
close_to_close_ema_221_daily_difference_pct <= 21.113786336030053,close_to_close_ema_221_daily_difference_pct,<=,21.113786336030053,299,12,287,4.013377926421405,92.3076923076923,69.32367149758454
close_ema_13_daily_volatility_5_daily <= 1.430753377040343,close_ema_13_daily_volatility_5_daily,<=,1.430753377040343,299,12,287,4.013377926421405,92.3076923076923,69.32367149758454
close_ema_221_daily_slope_pct <= 0.19231264378851545,close_ema_221_daily_slope_pct,<=,0.19231264378851545,299,12,287,4.013377926421405,92.3076923076923,69.32367149758454
close_ema_8_daily_volatility_5_daily <= 1.6003979984717625,close_ema_8_daily_volatility_5_daily,<=,1.6003979984717625,256,10,246,3.90625,76.92307692307693,59.42028985507246
close_ema_8_daily_range_5_pct <= 6.578697361483423,close_ema_8_daily_range_5_pct,<=,6.578697361483423,256,10,246,3.90625,76.92307692307693,59.42028985507246
close_ema_13_daily_range_5_pct <= 4.915963004984758,close_ema_13_daily_range_5_pct,<=,4.915963004984758,256,10,246,3.90625,76.92307692307693,59.42028985507246
close_to_close_ema_3_daily_difference_pct <= -2.587394779046657,close_to_close_ema_3_daily_difference_pct,<=,-2.587394779046657,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_to_close_ema_8_daily_difference_pct <= -5.607789106628052,close_to_close_ema_8_daily_difference_pct,<=,-5.607789106628052,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_to_close_ema_13_daily_difference_pct <= -6.9274303848169,close_to_close_ema_13_daily_difference_pct,<=,-6.9274303848169,128,5,123,3.90625,38.46153846153847,29.71014492753623
