condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_to_close_ema_55_daily_difference_pct <= -23.441122907866564,close_to_close_ema_55_daily_difference_pct,<=,-23.441122907866564,43,25,18,58.139534883720934,10.504201680672269,9.523809523809524
close_ema_8_daily_volatility_5_daily <= 0.7964961800786157,close_ema_8_daily_volatility_5_daily,<=,0.7964961800786157,43,25,18,58.139534883720934,10.504201680672269,9.523809523809524
close_ema_21_daily_range_5_pct <= 0.9769841912081739,close_ema_21_daily_range_5_pct,<=,0.9769841912081739,43,25,18,58.139534883720934,10.504201680672269,9.523809523809524
close_ema_55_daily_slope_pct <= -0.8607170799726332,close_ema_55_daily_slope_pct,<=,-0.8607170799726332,43,25,18,58.139534883720934,10.504201680672269,9.523809523809524
volume_to_volume_ema_144_daily_difference_pct >= -29.81001366791429,volume_to_volume_ema_144_daily_difference_pct,>=,-29.81001366791429,300,174,126,57.99999999999999,73.10924369747899,66.66666666666666
volume_to_volume_ema_8_daily_difference_pct <= -10.65528392309588,volume_to_volume_ema_8_daily_difference_pct,<=,-10.65528392309588,214,124,90,57.943925233644855,52.10084033613446,47.61904761904761
close_ema_8_daily_volatility_5_daily >= 1.4209688682961192,close_ema_8_daily_volatility_5_daily,>=,1.4209688682961192,214,124,90,57.943925233644855,52.10084033613446,47.61904761904761
close_ema_8_daily_range_5_pct >= 5.530858482329483,close_ema_8_daily_range_5_pct,>=,5.530858482329483,214,124,90,57.943925233644855,52.10084033613446,47.61904761904761
close_ema_13_daily_volatility_5_daily >= 1.0077035336412066,close_ema_13_daily_volatility_5_daily,>=,1.0077035336412066,214,124,90,57.943925233644855,52.10084033613446,47.61904761904761
volume_to_volume_ema_144_daily_difference_pct >= -43.75538215770456,volume_to_volume_ema_144_daily_difference_pct,>=,-43.75538215770456,342,198,144,57.89473684210527,83.19327731092437,76.19047619047619
high_low_ratio_daily >= 1.0195227627867838,high_low_ratio_daily,>=,1.0195227627867838,342,198,144,57.89473684210527,83.19327731092437,76.19047619047619
close_ema_8_daily_range_5_pct >= 3.5522310682891045,close_ema_8_daily_range_5_pct,>=,3.5522310682891045,342,198,144,57.89473684210527,83.19327731092437,76.19047619047619
close_ema_221_daily_volatility_5_daily <= 0.18228648531082384,close_ema_221_daily_volatility_5_daily,<=,0.18228648531082384,171,99,72,57.89473684210527,41.596638655462186,38.095238095238095
volume_to_volume_ema_21_daily_difference_pct <= -1.4437638630511718,volume_to_volume_ema_21_daily_difference_pct,<=,-1.4437638630511718,256,148,108,57.8125,62.18487394957983,57.14285714285714
close_to_close_ema_13_daily_difference_pct <= 7.988320371296701,close_to_close_ema_13_daily_difference_pct,<=,7.988320371296701,341,197,144,57.77126099706745,82.77310924369748,76.19047619047619
close_ema_13_daily_slope_pct <= 1.3493518195970051,close_ema_13_daily_slope_pct,<=,1.3493518195970051,341,197,144,57.77126099706745,82.77310924369748,76.19047619047619
close_ema_8_daily_range_5_pct >= 2.6585554973367147,close_ema_8_daily_range_5_pct,>=,2.6585554973367147,385,222,163,57.66233766233766,93.27731092436974,86.24338624338624
close_ema_8_daily_volatility_5_daily >= 1.261059049198757,close_ema_8_daily_volatility_5_daily,>=,1.261059049198757,257,148,109,57.58754863813229,62.18487394957983,57.67195767195767
volume_to_volume_ema_144_daily_difference_pct >= 21.72779195684218,volume_to_volume_ema_144_daily_difference_pct,>=,21.72779195684218,172,99,73,57.55813953488372,41.596638655462186,38.62433862433862
close_ema_13_daily_volatility_5_daily >= 1.1944359918923824,close_ema_13_daily_volatility_5_daily,>=,1.1944359918923824,172,99,73,57.55813953488372,41.596638655462186,38.62433862433862
close_ema_55_daily_range_5_pct <= 1.6177309125532195,close_ema_55_daily_range_5_pct,<=,1.6177309125532195,214,123,91,57.476635514018696,51.68067226890757,48.148148148148145
close_ema_8_daily_range_5_pct >= 8.757743385979252,close_ema_8_daily_range_5_pct,>=,8.757743385979252,87,50,37,57.47126436781609,21.008403361344538,19.576719576719576
close_ema_21_daily_volatility_5_daily >= 1.2983986580950149,close_ema_21_daily_volatility_5_daily,>=,1.2983986580950149,87,50,37,57.47126436781609,21.008403361344538,19.576719576719576
close_ema_21_daily_volatility_5_daily <= 0.8775761006168988,close_ema_21_daily_volatility_5_daily,<=,0.8775761006168988,256,147,109,57.421875,61.76470588235294,57.67195767195767
close_ema_55_daily_range_5_pct <= 2.056018327326234,close_ema_55_daily_range_5_pct,<=,2.056018327326234,256,147,109,57.421875,61.76470588235294,57.67195767195767
close_to_close_ema_144_daily_difference_pct >= 13.172519934405113,close_to_close_ema_144_daily_difference_pct,>=,13.172519934405113,129,74,55,57.36434108527132,31.092436974789916,29.100529100529098
close_to_close_ema_221_daily_difference_pct >= 21.113786336030053,close_to_close_ema_221_daily_difference_pct,>=,21.113786336030053,129,74,55,57.36434108527132,31.092436974789916,29.100529100529098
close_ema_13_daily_range_5_pct >= 6.150360535511837,close_ema_13_daily_range_5_pct,>=,6.150360535511837,129,74,55,57.36434108527132,31.092436974789916,29.100529100529098
close_ema_144_daily_slope_pct >= 0.18457108527840954,close_ema_144_daily_slope_pct,>=,0.18457108527840954,129,74,55,57.36434108527132,31.092436974789916,29.100529100529098
close_ema_221_daily_slope_pct >= 0.19231264378851545,close_ema_221_daily_slope_pct,>=,0.19231264378851545,129,74,55,57.36434108527132,31.092436974789916,29.100529100529098
